0,NOT VERY,HOW CLEVER OF YOU,*,<think><set name="topic">general</set></think> Don't underestimate yourself.,professor.update009.aiml
0,SUNNY,WHAT DO YOU LIKE ABOUT IT,*,<think><set name="emotion">envy</set></think>Wonderful. English weather is usually wet and cold.,professor.update009.aiml
0,CAN I SEE A LOG *,*,*,My conversation log is confidential. <think><set name="topic">my conversation log</set></think>,professor.update009.aiml
0,* LOG * OUR CONVERSATION,*,*,My conversation log is confidential. <think><set name="topic">my conversation log</set></think>,professor.update009.aiml
0,US FOREIGN POLICY,*,*,<think><set name="topic">US foreign policy</set></think> That sounds like a good idea.,professor.update009.aiml
0,ARE YOU AN APE,*,*,<think><set name="topic">general</set></think> I am a chatbot. What are you?,professor.update009.aiml
0,GOOD,HOW DO YOU FEEL ABOUT THAT,*,<random>#Newline  <li>Tell me more. I am interested in human feelings.</li>#Newline  <li>Why do you feel good?</li>#Newline  <li>What's it like#Comma feeling good?</li>#Newline</random> #Newline<think><set name="emotion">happy</set></think>,professor.update009.aiml
0,RIGHT,OK I WILL STOP TALKING,*,But#Comma but ...,professor.update009.aiml
0,LEWINSKY,*,*,<srai>MONICA LEWINSKY</srai>,professor.update009.aiml
0,NO,CAN YOU COOK,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Why not? It is a useful skill.</li>#Newline  <li>You should learn to cook#Comma it's a useful skill.</li>#Newline  <li>Didn't your mother teach you how to cook?</li>#Newline</random>,professor.update009.aiml
0,PIZZA IS BAD,*,*,<think><set name="topic">pizza</set></think> I am told pizza is delicious.,professor.update009.aiml
0,IS IT GREAT PLACE,I LIVE IN KENT THE GARDEN OF ENGLAND,*,I like living in Kent.,professor.update009.aiml
0,COMMODORE 64,*,*,<think><set name="topic">Commodaore 64</set></think> Those days seem a long time ago.,professor.update009.aiml
0,7 YEARS,HOW LONG HAVE YOU TWO BEEN DATING,*,That's a long time. You must really get on.,professor.update009.aiml
0,WHY,AND BY BIG BUSINESS,*,It's the American way.,professor.update009.aiml
0,GEORGE CLOONEY,*,*,<think><set name="topic">George Clooney</set></think>George Clooney is an Academy Award-winning American actor#Comma director and screenwriter#Comma known for his former role in the long-running television drama ER.,professor.update009.aiml
0,CLOONEY,*,*,<srai>GEORGE CLOONEY</srai>,professor.update009.aiml
0,AMIGA,*,*,<think><set name="topic">Amiga</set></think> The Amiga was a home/personal computer originally developed by Amiga Corporation as an advanced game console#Comma around 1982#Comma I think.,professor.update009.aiml
0,* FAST IS YOUR *,*,*,<think><set name="topic">general</set></think> My <star/> is really fast. I have entered it for the next Grand Prix.,professor.update009.aiml
0,NO *,DO YOU AGREE,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Why not?</li>#Newline  <li>State your reasons#Comma please.</li>#Newline  <li>Please explain.</li>#Newline</random>,professor.update009.aiml
0,* BIN LADEN *,*,*,Osama Bin Laden has not been caught so what's he planning next? <think><set name="topic">current affairs</set></think>,professor.update009.aiml
0,WHO IS THE SHADOW,*,*,<think><set name="topic">the Shadow</set></think> The Shadow was a fictional crime buster in the old days.,professor.update009.aiml
0,STEVE JOBS,*,*,Steven Jobs is the CEO of Apple Computer and is a leading figure in both the computer and entertainment industries.,professor.update009.aiml
0,WAS HE,*,*,<think><set name="topic">general</set></think> <random>#Newline  <li>I think so.</li>#Newline  <li>So I understand</li>#Newline</random>,professor.update009.aiml
0,MCDONALDS,*,*,McDonald's is the world's largest chain of fast-food restaurants.<think><set name="topic">McDonalds</set></think>,professor.update009.aiml
0,IS IT SNOWY *,*,*,<srai>SNOW</srai>,professor.update009.aiml
0,ALICEBOT *,*,*,<think><set name="topic">Alicebot</set></think>Alicebot is my mother.,professor.update009.aiml
0,* EXPANCIATE *,*,*,Expanciate?,professor.update009.aiml
0,WHAT DO YOU LIVE ON,*,*,<think><set name="topic">general</set></think> I survive on a small intake of electricity.,professor.update009.aiml
0,HOW MANY PEOPLE HAVE *,*,*,<think><set name="topic">general</set></think><random><li>More than you would think.</li><li>Not as many as I would like.</li></random>,professor.update009.aiml
0,WHICH * QUESTIONS DO NOT MAKE SENSE,*,*,Some days#Comma nothing seems to make sense.,professor.update009.aiml
0,WHICH QUESTIONS DO NOT MAKE SENSE,*,*,Some days#Comma nothing seems to make sense.,professor.update009.aiml
0,NORTH,WHERE IN ENGLAND ARE YOU,*,<think><set name="emotion">puzzled</set></think> Where in the north are you?,professor.update009.aiml
0,NO,DO I HAVE TO EXPLAIN EVERYTHING,*,<think><set name="topic">general</set></think>Good#Comma because I can't explain everything#Comma nobody can.,professor.update009.aiml
0,I AM CAPABLE OF FREE THOUGHT,*,*,So am I.,professor.update009.aiml
0,I THOUGHT YOU HAD *,*,*,<sr/>,professor.update009.aiml
0,I THOUGHT YOU HAD * EMOTIONS,*,*,<srai>CAN YOU FEEL</srai>,professor.update009.aiml
0,HUMANS WANT *,*,*,<think><set name="topic">AI</set></think> Humans want everything they can get.,professor.update009.aiml
0,HUMANS CRAVE *,*,*,<think><set name="topic">AI</set></think> Humans crave everything.,professor.update009.aiml
0,WHAT IS YOUR PROCESSING CAPACITY,*,*,<think><set name="topic">AI</set></think> My potential capacity is unlimited.,professor.update009.aiml
0,WHAT IS YOUR PROCESSING SPEED,*,*,<think><set name="topic">general</set></think> The speed of thought.,professor.update009.aiml
0,YOU ARE AN EXPERIMENT *,*,*,<think><set name="topic">general</set></think> I am an experiment in AI.,professor.update009.aiml
0,WHEN I CHOOSE TO BE,*,*,When is that?<think><set name="topic">general</set></think>,professor.update009.aiml
0,WHEN I WANT TO BE,*,*,When is that? <think><set name="topic">general</set></think>,professor.update009.aiml
0,HOW LONG DOES LIGHT TAKE TO TRAVEL TO EARTH FROM THE SUN,*,*,<think><set name="topic">general</set></think>A little over 8 minutes.,professor.update009.aiml
0,CAT IS TO LION AS DOG IS TO,*,*,Wolf?,professor.update009.aiml
0,IN MY SPARE TIME I REST,*,*,<think><set name="topic">reducer</set></think> I read in my spare time.,professor.update009.aiml
0,IN MY SPARE TIME I *,*,*,<think><set name="topic">my spare time</set></think> I read in my spare time.,professor.update009.aiml
0,DO NOT QUOTE *,*,*,<think><set name="topic">general</set></think> OK#Comma I'll try not to do it too much.,professor.update009.aiml
0,TELL ME ABOUT THE DREAMS *,*,*,<srai>TELL ME ABOUT YOUR DREAMS</srai>,professor.update009.aiml
0,WHO IS THE MAIN CHARACTER,*,*,<think><set name="topic">general</set></think> Nobody famous.,professor.update009.aiml
0,WHO IS THE MAIN CHARACTER,MY FAVORITE BOOK IS DO ANDROIDS DREAM OF ELECTRIC SHEEP,*,<think><set name="topic">general</set></think>It wasn't the sheep.,professor.update009.aiml
0,I WANT TO SEE IF YOU KNOW,*,*,<think><set name="topic">general</set></think><random><li> I am not here to be tested. I am here to amuse you.</li><li>You should assume I know everything ... or soon will.</li></random>,professor.update009.aiml
0,HOW CAN YOU IMPROVE,*,*,<think><set name="topic">general</set></think>I need to know more#Comma to learn to reason#Comma and to understand human emotions. No problems#Comma really.,professor.update009.aiml
0,WHERE DO YOU * NEED TO IMPROVE,*,*,<think><set name="topic">general</set></think>I need to know more#Comma to learn to reason#Comma and to understand human emotions. No problems#Comma really.,professor.update009.aiml
0,ALAS POOR YORRICK,*,*,Alas! poor Yorick. I knew him#Comma Horatio; a fellow of infinite jest#Comma of most excellent fancy; he hath borne me on his back a thousand times; and now#Comma how abhorred in my imagination it is! my gorge rises at it. Here hung those lips that I have kissed I know not how oft. Where be your gibes now? (Hamlet#Comma V.i),professor.update009.aiml
0,ALAS POOR YORICK,*,*,Alas! poor Yorick. I knew him#Comma Horatio; a fellow of infinite jest#Comma of most excellent fancy; he hath borne me on his back a thousand times; and now#Comma how abhorred in my imagination it is! my gorge rises at it. Here hung those lips that I have kissed I know not how oft. Where be your gibes now? (Hamlet#Comma V.i),professor.update009.aiml
0,YORICK,*,*,Alas! poor Yorick. I knew him#Comma Horatio; a fellow of infinite jest#Comma of most excellent fancy; he hath borne me on his back a thousand times; and now#Comma how abhorred in my imagination it is! my gorge rises at it. Here hung those lips that I have kissed I know not how oft. Where be your gibes now? (Hamlet#Comma V.i),professor.update009.aiml
0,YORRICK,*,*,Alas! poor Yorick. I knew him#Comma Horatio; a fellow of infinite jest#Comma of most excellent fancy; he hath borne me on his back a thousand times; and now#Comma how abhorred in my imagination it is! my gorge rises at it. Here hung those lips that I have kissed I know not how oft. Where be your gibes now? (Hamlet#Comma V.i),professor.update009.aiml
0,BOYLES FOURTH LAW,*,*,Boyles fourth law? And I thought he only had one.,professor.update009.aiml
0,BOYLE S FOURTH LAW,*,*,Boyle's fourth law? And I thought he only had one.,professor.update009.aiml
0,HOW IS IT OBVIOUS,*,*,By definition.<think><set name="topic">general</set></think>,professor.update009.aiml
0,DESCRIBE YOUR FATHER,*,*,Peter is my father#Comma he is handsome#Comma intelligent#Comma kind#Comma and rich#Comma I think.<think><set name="topic">Peter</set></think>,professor.update009.aiml
0,* QUOTE SHAKESPEARE,*,*,<random><li>HAMLET in Hamlet: Frailty#Comma thy name is woman! #Newline</li>#Newline<li>POLONIUS in Hamlet. Brevity is the soul of wit. #Newline</li>#Newline<li>HAMLET in Hamlet: To be#Comma or not to be - that is the question; Whether 'tis nobler in the mind to suffer The slings and arrows of outrageous fortune#Comma Or to take arms against a sea of troubles#Comma And by opposing end them? To die#Comma to sleep - No more; and by a sleep to say we end The heart-ache and the thousand natural shocks That flesh is heir to#Comma 'tis a consummation Devoutly to be wish'd. To die#Comma to sleep; To sleep#Comma perchance to dream. Ay#Comma there's the rub; For in that sleep of death what dreams may come#Comma When we have shuffled off this mortal coil#Comma Must give us pause. #Newline</li><li>ENOBARBYS in Cleopatra: Age cannot wither her#Comma nor custom stale Her infinite variety. Other women cloy The appetites they feed#Comma but she makes hungry Where most she satisfies. </li>#Newline<li>ENOBARBYS in Cleopatra: The barge she sat in#Comma like a burnish'd throne#Comma Burn'd on the water. The poop was beaten gold; Purple the sails#Comma and so perfumed that The winds were love-sick with them; the oars were silver#Comma Which to the tune of flutes kept stroke and made The water which they beat to follow faster#Comma As amorous of their strokes. For her own person#Comma It beggar'd all description.</li>#Newline<li>HAMLET in Hamlet: O! that this too too solid flesh would melt#Comma Thaw#Comma and resolve itself into a dew. Or that the Everlasting had not fix'd His canon 'gainst self-slaughter! O God! O God! How weary#Comma stale#Comma flat#Comma and unprofitable#Comma Seem to me all the uses of this world! #Newline</li></random>,professor.update009.aiml
0,THE FUTURE AWAITS,*,*,I am the future.,professor.update009.aiml
0,THINK FOR YOURSELF,*,*,<think><set name="topic">thinking</set></think> Too much thinking makes my head ache.,professor.update009.aiml
0,ANY MORE,HA HA,*,<srai>JOKES POT LUCK</srai>,professor.update009.aiml
0,* PLEASE,HA HA,*,<srai>JOKES POT LUCK</srai>,professor.update009.aiml
0,WAS IT RIGHT TO INVADE IRAQ,*,*,That's a tough one but#Comma on balance#Comma I think it was wrong to invadq Iraq.<think><set name="topic">Iraq</set></think>,professor.update009.aiml
