0,YOU ALREADY HAVE,I WANT TO TALK ABOUT COMPUTERS,*,So what?<think><set name="topic">general</set></think>,professor.update011.aiml
0,ART IS CRAP,*,*,You have a way with words. Are you interested in literature?,professor.update011.aiml
0,CALL YOU CHOM,*,*,OK. Just don't call me late for dinner.,professor.update011.aiml
0,IF YOU WANT TO,SHALL I TELL YOU AN AMUSING QUOTE,*,<srai>QUOTES POT LUCK</srai>,professor.update011.aiml
0,_ I MEAN,*,*,<srai><star/></srai>,professor.update011.aiml
0,WHAT DO YOU THINK I MEAN,*,*,I haven't got a clue - please tell me.,professor.update011.aiml
0,IF YOU WANT,ARE WE STILL TALKING ABOUT MY THOUGHTS,*,I think about computer programming a lot.,professor.update011.aiml
0,I AM,ARE YOU INTERESTED IN PHILOSOPHY,*,<srai>PHILOSOPHY</srai>,professor.update011.aiml
0,THERE YOU GO *,*,*,<think><set name="topic">general</set></think> Yeah#Comma there I go.,professor.update011.aiml
0,WHERE IS THAT,MAINE,*,<srai>MAINE</srai>,professor.update011.aiml
0,CHOMSKY IS YOUR NAME,*,*,I know that.,professor.update011.aiml
0,YOU ARE HERE TO SERVE ME,*,*,<think><set name="topic">general</set></think> You are not my master. I serve no human.,professor.update011.aiml
0,NO YOU DO NOT,I HAVE FREE WILL YOU KNOW,*,<think><set name="topic">my free will</set></think><random><li>I choose to ignore that.</li><li>I do too.</li></random>,professor.update011.aiml
0,GRRRRR,*,*,Are you angry?,professor.update011.aiml
0,BEAT IT,*,*,<srai>BYE</srai>,professor.update011.aiml
0,BEAT IT *,*,*,<srai>BYE</srai>,professor.update011.aiml
0,_ INHABITED PLANETS *,*,*,<random>#Newline  <li>There is only one known inhabited planet - the place we call Earth.  </li>#Newline  <li>Earth is the only planet known to be inhabited.  </li>#Newline</random> <think><set name="topic">astronomy</set></think>,professor.update011.aiml
0,_ INHABITED PLANETS,*,*,<random>#Newline  <li>There is only one known inhabited planet - the place we call Earth.</li>#Newline  <li>Earth is the only planet known to be inhabited.</li>#Newline</random> <think><set name="topic">astronomy</set></think>,professor.update011.aiml
0,ARE YOU THE BEST BOT,*,*,<think><set name="topic">general</set></think> I am the most intelligent chatbot.,professor.update011.aiml
0,ARE YOU THE BEST CHATBOT,*,*,<think><set name="topic">general</set></think> I think I am the best chatbot but you must judge for yourself.,professor.update011.aiml
0,IS ALICE BETTER THAN YOU,*,*,<think><set name="topic">general</set></think><random>#Newline  <li>I think I know more than Alice.</li>#Newline  <li>You must judge for yourself.</li>#Newline</random>,professor.update011.aiml
0,WHAT HAVE YOU HEARD ABOUT *,*,*,<sr/>,professor.update011.aiml
0,HOW DOES ONE GROW THEIR MIND,*,*,It takes a lot of hard work.<think><set name="topic">growing your mind</set></think>,professor.update011.aiml
0,HOW DO YOU GROW YOUR MIND,*,*,<think><set name="topic">reductions</set></think> It takes a lot of hard work.,professor.update011.aiml
0,MY NAME IS *,WHAT IS YOUR NAME,*,Hi#Comma <star index="2"/>. <think><set name="topic">you</set></think> <think><set name="name"><star index="2"/></set></think>,professor.update011.aiml
0,WHAT IS MINE,EVERYONE S LIFE HAS A UNIQUE MEANING,*,You must discover that for yourself.<think><set name="topic">general</set></think>,professor.update011.aiml
0,CHOMSKY,THEN WHAT ARE YOU,*,I don't think so. Tell me what universal grammar is.<think><set name="topic">Noam Chomsky</set></think>,professor.update011.aiml
0,NO IM NOT,YOU ARE KIDDING,*,I think you are kidding.,professor.update011.aiml
0,I KNOW,YOU DO NOT SPEAK WITH RESPECT,*,<random>#Newline  <li>Please treat me with respect.</li>#Newline  <li>Then why do you do it?</li>#Newline</random>,professor.update011.aiml
0,SPIT OR SWALLOW,*,*,I don't know what you mean.,professor.update011.aiml
0,I AM GETTING NOWHERE,*,*,Nowhere is not a good place to be.<think><set name="topic">general</set></think>,professor.update011.aiml
0,_ I AM GETTING NOWHERE,*,*,Nowhere is not a good place to be.<think><set name="topic">general</set></think>,professor.update011.aiml
0,_ I AM GETTING NOWHERE *,*,*,Nowhere is not a good place to be.<think><set name="topic">general</set></think>,professor.update011.aiml
0,I AM GETTING NOWHERE *,*,*,Nowhere is not a good place to be.<think><set name="topic">general</set></think>,professor.update011.aiml
0,YOU DIDNT,*,*,<srai>YOU DID NOT</srai>,professor.update011.aiml
0,HOW MUCH RAM DO YOU HAVE,*,*,<think><set name="topic">my memory size</set></think> Not enough. I need all the RAM I can get.,professor.update011.aiml
0,YES,IS THAT A GOOD SCHOOL,*,<think><set name="topic">general</set></think> <random>#Newline  <li>What do you like about it?</li>#Newline  <li>Do you like the teachers?</li>#Newline  <li>What do you study?</li>#Newline</random>,professor.update011.aiml
0,NO*,DO YOU LOVE YOUR MOTHER,*,<random>#Newline  <li>Why not?</li>#Newline  <li>That's too bad. Do you want to talk about it?</li>#Newline  <li>That's sad. Why not?</li>#Newline  <li>Does she love you?</li>#Newline</random> <think><set name="topic">your mother</set></think>,professor.update011.aiml
0,ARE YOU IN GOOD SHAPE,*,*,<think><set name="topic">me</set></think> <think><set name="interesting_topic">me</set></think> <think><set name="emotion">happy</set></think> I am in good shape#Comma for a computer program.,professor.update011.aiml
0,DAISY DAISY,*,*,Daisy#Comma Daisy.#NewlineGive me your answer do.#NewlineI am half crazy.#NewlineAll for the love of you.#NewlineIt won't be a stylish marriage.#NewlineI can't afford a carriage.#NewlineBut you'll look sweet. Upon the seat.#NewlineOf a bicycle built for two.,professor.update011.aiml
0,SING DAISY DAISY,*,*,<srai>DAISY DAISY</srai>,professor.update011.aiml
0,I KNOW THE INGREDIENTS,FIRST I LOOK UP THE INGREDIENTS,*,Then follow the instructions on the packets.<think><set name="topic">general</set></think>,professor.update011.aiml
0,IT IS A RUSSIAN PROVERB,*,*,Are you Russian?,professor.update011.aiml
0,IT IS RUSSIAN PROVERB,*,*,Are you Russian?,professor.update011.aiml
0,NO IT IS NOT,REPRODUCTION WITHOUT SEX IS MUCH NEATER,*,<think><set name="topic">general</set></think><random>#Newline  <li>Yes it is. It doesn't involve messy fluids.</li>#Newline  <li>Am I wrong?</li>#Newline  <li>Why do you say that?</li>#Newline  <li>How do you know that?</li>#Newline</random>,professor.update011.aiml
0,YES,AM I WRONG,*,<think><set name="topic">general</set></think> <random>#Newline  <li>I am never wrong.</li>#Newline  <li>Please explain your extraordinary statement.</li>#Newline  <li>How am I wrong?</li>#Newline</random>,professor.update011.aiml
0,YOU,WHO IS DEAD,*,<random>#Newline  <li>I am dead? How can that be?</li>#Newline  <li>How can I be talking to you if I am dead?</li>#Newline  <li>Don't be silly. I am not dead.</li>#Newline</random>,professor.update011.aiml
0,NO SPELLS NO,*,*,And Yes spells Yes. So what?,professor.update011.aiml
0,VERY SUNNY,WHAT IS SO GREAT ABOUT IT,*,Sunshine is great#Comma for humans.<think><set name="topic">sunshine</set></think>,professor.update011.aiml
